old_player_names,new_player_names,Team_short,Team,Player_type
Nil,Krishnan Shrijith,MI,Mumbai Indians,BAT
Nil,Jacob Bethell,RCB,Royal Challengers Bengaluru,AR
Nil,Brydon Carse,SRH,Sunrisers Hyderabad,AR
Nil,Aaron Hardie,PBKS,Punjab Kings,AR
Nil,Aniket Verma,SRH,Sunrisers Hyderabad,BAT
RA Bawa,RajÂ Bawa,MI,Mumbai Indians,AR
Nil,Musheer Khan,PBKS,Punjab Kings,AR
Nil,Manvanth Kumar,DC,Delhi Capitals,AR
Nil,Suryansh Shedge,PBKS,Punjab Kings,AR
Nil,Prince Yadav,LSG,Lucknow Super Giants,BOWL
Nil,Jamie Overton,CSK,Chennai Super Kings,AR
Nil,Xavier Bartlett,PBKS,Punjab Kings,BOWL
Nil,Yuvraj Chaudhary,LSG,Lucknow Super Giants,AR
Nil,Abhinandan Singh,RCB,Royal Challengers Bengaluru,BOWL
Nil,Karim Janat,GT,Gujarat Titans,AR
Nil,Pyla Avinash,PBKS,Punjab Kings,BAT
Nil,Ramakrishna Ghosh,CSK,Chennai Super Kings,AR
Nil,Satyanarayana Raju,MI,Mumbai Indians,BOWL
Nil,Bevon Jacobs,MI,Mumbai Indians,BAT
Nil,Ashok Sharma,RR,Rajasthan Royals,BOWL
Nil,Vaibhav Suryavanshi,RR,Rajasthan Royals,BAT
Nil,Eshan Malinga,SRH,Sunrisers Hyderabad,BOWL
Nil,Tripurana Vijay,DC,Delhi Capitals,AR
Nil,Madhav Tiwari,DC,Delhi Capitals,AR
Nil,Vignesh Puthur,MI,Mumbai Indians,AR
